type,locality,gym,lift,swimming_pool,negotiable,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,water_supply,building_type,balconies,rent,LIFT,GYM,INTERNET,AC,CLUB,INTERCOM,POOL,CPA,FS,SERVANT,SECURITY,SC,GP,PARK,RWH,STP,HK,PB,VP,city,furnishing_encoded,parking_encoded
3,Hoysala Nagara,0,0,0,1,600,10.0,1.0,2,2.0,0.0,2.0,CORP_BORE,IF,0.0,12500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Hoodi,0,0,0,1,1000,6.0,2.0,1,2.0,3.0,5.0,CORP_BORE,AP,1.0,18000.0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,Bengaluru,1,3
2,Rajarajeshwari Nagar,0,0,1,1,650,2.0,1.0,1,1.0,2.0,2.0,CORPORATION,IF,1.0,16500.0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Rajarajeshwari Nagar,0,0,0,0,1500,10.0,3.0,2,3.0,0.0,1.0,CORPORATION,IH,0.0,18500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Bengaluru,1,3
1,Dodda Nekkundi,1,0,1,1,700,8.0,1.0,2,1.0,3.0,3.0,CORP_BORE,IF,1.0,18000.0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,Bengaluru,1,3
4,Banashankari,0,0,0,1,1600,5.0,3.0,2,3.0,2.0,3.0,CORP_BORE,AP,4.0,28000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,Bengaluru,1,3
3,Hanumantha Nagar,0,1,0,0,1100,10.0,2.0,1,4.0,2.0,4.0,CORPORATION,AP,3.0,15000.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,Bengaluru,1,3
3,Hongasandra,0,0,0,0,600,0.0,2.0,2,2.0,3.0,4.0,CORPORATION,IF,1.0,13000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bengaluru,1,3
4,Dodda Nekkundi,1,1,1,1,1750,7.0,3.0,2,3.0,12.0,12.0,CORP_BORE,AP,3.0,42000.0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,Bengaluru,1,3
2,HSR Layout,0,0,0,1,900,16.0,1.0,3,1.0,0.0,0.0,CORPORATION,IH,0.0,17000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bengaluru,1,3
4,Frazer Town,0,0,0,0,1800,4.0,3.0,1,3.0,2.0,3.0,CORPORATION,IF,2.0,25000.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bengaluru,1,0
3,Dodda Nekkundi,0,1,0,0,700,0.0,2.0,2,2.0,2.0,4.0,CORP_BORE,IF,1.0,19500.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,3
3,Hagadur,0,0,0,1,850,2.0,2.0,2,2.0,3.0,5.0,CORP_BORE,IF,1.0,11250.0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,Bengaluru,1,1
3,Hagadur,1,1,1,1,1250,0.0,2.0,2,2.0,2.0,17.0,CORP_BORE,AP,1.0,30000.0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,Bengaluru,1,2
3,Varthur,1,1,0,1,1070,0.0,2.0,1,4.0,2.0,4.0,BOREWELL,AP,1.0,23000.0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,Bengaluru,1,3
3,Rajarajeshwari Nagar,0,0,0,1,1200,1.0,2.0,1,2.0,2.0,2.0,CORP_BORE,IF,1.0,11000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Bengaluru,1,1
3,C V Raman Nagar Ward,0,1,0,0,1000,12.0,2.0,2,5.0,2.0,3.0,BOREWELL,AP,2.0,16000.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,Bengaluru,1,2
3,HAL Airport Ward,0,1,0,1,1070,10.0,2.0,2,4.0,2.0,4.0,CORP_BORE,AP,1.0,23500.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Bengaluru,1,3
3,Banashankari,0,0,0,0,2400,8.0,2.0,1,2.0,0.0,2.0,CORP_BORE,IH,0.0,25000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,3
3,Dodda Nekkundi,1,1,1,0,1221,1.0,2.0,1,2.0,7.0,10.0,BOREWELL,AP,2.0,26500.0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,Bengaluru,1,3
3,Chikkalsandra,0,0,0,1,900,10.0,2.0,2,2.0,1.0,2.0,CORPORATION,IF,0.0,11500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
3,Ramagondanahalli,0,0,0,0,850,5.0,2.0,2,2.0,2.0,4.0,BOREWELL,AP,2.0,16000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,Bengaluru,1,3
3,Hagadur,1,1,0,1,1200,0.0,2.0,4,2.0,1.0,3.0,CORP_BORE,AP,2.0,20000.0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,Bengaluru,1,3
2,Jakkasandra,0,0,0,1,700,3.0,1.0,1,2.0,1.0,3.0,CORP_BORE,IF,1.0,13000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Bengaluru,1,1
3,Kadugodi,1,1,1,1,1200,3.0,2.0,4,4.0,4.0,4.0,BOREWELL,AP,2.0,20000.0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,Bengaluru,1,3
3,Pantarapalya,1,1,1,0,1150,0.0,2.0,4,2.0,2.0,3.0,CORP_BORE,AP,2.0,18000.0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,Bengaluru,1,3
3,Dodda Nekkundi,0,0,0,1,1000,2.0,2.0,1,3.0,0.0,2.0,CORPORATION,IF,0.0,17000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Basavanagudi,0,0,0,1,1000,7.0,2.0,1,1.0,2.0,3.0,CORPORATION,IF,1.0,25000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Bengaluru,1,1
3,Vimanapura,0,0,0,1,1000,0.0,2.0,1,2.0,0.0,3.0,CORP_BORE,AP,0.0,20000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bengaluru,1,3
4,HSR Layout,1,1,1,0,1760,9.0,3.0,2,6.0,7.0,10.0,CORP_BORE,AP,3.0,44000.0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,Bengaluru,2,3
4,Nallurahalli,1,1,1,1,1800,0.0,3.0,1,3.0,2.0,4.0,CORP_BORE,AP,3.0,30000.0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,Bengaluru,1,3
3,Hagadur,1,1,1,1,1160,0.0,2.0,1,2.0,2.0,5.0,BOREWELL,AP,4.0,18500.0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,Bengaluru,1,3
3,Jogupalya,0,0,0,1,600,10.0,1.0,3,1.0,2.0,2.0,CORPORATION,IF,0.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
3,C V Raman Nagar Ward,0,1,0,0,1200,7.0,2.0,3,2.0,3.0,3.0,CORP_BORE,AP,1.0,25000.0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,Bengaluru,1,3
2,Bellanduru,0,0,0,0,600,0.0,2.0,4,1.0,1.0,3.0,CORP_BORE,IF,1.0,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
3,Bommanahalli,0,0,0,1,1000,10.0,3.0,2,0.0,2.0,2.0,CORPORATION,IF,0.0,14000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,0,1
3,Bellanduru,0,0,0,1,1000,2.0,2.0,1,2.0,2.0,3.0,BOREWELL,IF,2.0,19000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bengaluru,1,3
4,Devarabeesanahalli,1,1,1,0,1650,1.0,3.0,2,3.0,8.0,9.0,CORPORATION,AP,3.0,45000.0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,Bengaluru,1,3
3,Ejipura,0,1,0,1,1080,3.0,2.0,2,3.0,4.0,4.0,BOREWELL,AP,1.0,27500.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bengaluru,1,3
4,Domlur,0,0,0,1,1800,20.0,2.0,1,3.0,0.0,2.0,CORPORATION,IH,1.0,30000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,2
3,Benniganahalli Ward,0,0,0,1,1500,0.0,2.0,1,3.0,2.0,2.0,CORP_BORE,IF,1.0,25000.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bengaluru,1,3
2,Marathahalli,0,0,0,1,400,3.0,1.0,3,0.0,1.0,4.0,CORPORATION,IF,0.0,8000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,0,1
4,Varthur,1,1,1,0,1850,1.0,3.0,1,2.0,1.0,4.0,BOREWELL,AP,1.0,25000.0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,Bengaluru,1,3
4,Basaveshwaranagar,0,0,0,1,1200,13.0,2.0,1,3.0,2.0,3.0,CORP_BORE,IF,1.0,23000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Bengaluru,1,3
4,Varthur,1,1,1,1,1545,2.0,2.0,4,4.0,0.0,5.0,CORP_BORE,AP,2.0,20000.0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,Bengaluru,1,3
4,Hosakerehalli,1,0,0,1,2100,5.0,3.0,1,3.0,1.0,2.0,CORP_BORE,IF,0.0,26000.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,Bengaluru,1,3
2,Munekolala,0,0,0,1,550,1.0,1.0,2,1.0,3.0,3.0,BOREWELL,IF,0.0,9500.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Bengaluru,2,2
3,Padmanabha Nagar,0,0,0,0,1200,2.0,2.0,2,2.0,0.0,3.0,CORPORATION,IF,2.0,16500.0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,Bengaluru,1,1
3,Ambalipura,0,0,0,1,600,1.0,2.0,1,2.0,3.0,3.0,CORPORATION,IH,0.0,13500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
4,Attiguppe,0,1,0,0,1600,5.0,2.0,2,2.0,1.0,3.0,BOREWELL,AP,3.0,20000.0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,Bengaluru,1,3
3,Jogupalya,0,0,0,1,800,4.0,2.0,1,2.0,2.0,3.0,CORP_BORE,IF,1.0,17000.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Bengaluru,1,1
3,Kaveripura,0,0,0,1,800,10.0,1.0,1,1.0,0.0,0.0,BOREWELL,IH,0.0,11000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Wilson Garden,0,0,0,1,750,10.0,1.0,1,2.0,0.0,2.0,CORPORATION,IF,0.0,17000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
2,Mangammanapalya,0,0,0,0,600,0.0,1.0,2,3.0,3.0,3.0,CORP_BORE,IF,1.0,12000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bengaluru,1,0
3,Dodda Nekkundi,0,0,0,0,1100,10.0,2.0,4,2.0,2.0,3.0,CORPORATION,IF,1.0,18000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
4,Yelchenahalli Ward,1,1,0,1,1650,1.0,3.0,2,3.0,5.0,5.0,BOREWELL,AP,2.0,19000.0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,Bengaluru,1,3
2,Vidyapeeta ward,0,0,0,1,500,5.0,1.0,3,0.0,1.0,2.0,CORP_BORE,IF,1.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,2,1
3,Padmanabha Nagar,0,0,0,0,650,9.0,1.0,3,2.0,1.0,3.0,CORPORATION,IF,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
3,AGS Layout,0,1,0,0,1200,3.0,2.0,2,4.0,1.0,3.0,CORP_BORE,AP,2.0,15000.0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,Bengaluru,1,3
3,C V Raman Nagar,0,1,0,1,1000,10.0,2.0,2,2.0,2.0,5.0,CORP_BORE,AP,2.0,16000.0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,Bengaluru,1,3
3,Ejipura,0,0,0,1,800,5.0,2.0,2,0.0,0.0,1.0,CORP_BORE,IF,1.0,15000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bengaluru,0,3
4,Jnana Bharathi,0,0,0,1,2400,10.0,3.0,2,3.0,0.0,1.0,CORP_BORE,IH,1.0,23000.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,Bengaluru,1,3
4,Dodda Nekkundi,1,1,1,1,1600,0.0,3.0,1,3.0,1.0,7.0,CORP_BORE,AP,3.0,34000.0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,Bengaluru,1,3
3,Basavanagudi,0,0,0,1,1100,11.0,2.0,1,2.0,3.0,3.0,CORPORATION,AP,1.0,30000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Bengaluru,1,0
3,Kadugodi,1,1,1,1,1200,0.0,2.0,2,2.0,14.0,14.0,BOREWELL,AP,3.0,25000.0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,Bengaluru,1,3
2,BTM Layout,0,0,0,1,400,0.0,1.0,2,1.0,2.0,2.0,CORP_BORE,IF,0.0,12000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
4,Hoodi,1,0,1,1,1600,3.0,3.0,2,3.0,0.0,0.0,CORP_BORE,IH,1.0,26000.0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,Bengaluru,1,3
3,Suddagunte Palya Ward,0,0,0,0,1200,5.0,1.0,1,1.0,0.0,4.0,CORP_BORE,IH,0.0,18000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Bengaluru,1,1
3,Munekolala,0,0,0,0,1400,3.0,2.0,2,2.0,1.0,2.0,CORP_BORE,IH,0.0,30000.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Bengaluru,1,3
3,Bhuvaneshwari Nagar,0,1,0,1,1196,7.0,2.0,2,4.0,0.0,4.0,CORP_BORE,AP,1.0,12000.0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,Bengaluru,1,3
4,Mangammanapalya,1,1,0,0,1494,5.0,2.0,2,3.0,1.0,5.0,CORPORATION,AP,2.0,33000.0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,Bengaluru,1,3
3,Pantarapalya,0,0,0,0,800,1.0,1.0,1,1.0,0.0,4.0,BOREWELL,IF,0.0,8500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,3
4,Dodda Nekkundi,0,1,0,1,1560,5.0,2.0,2,11.0,2.0,3.0,CORP_BORE,AP,1.0,35000.0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,Bengaluru,2,3
4,Koramangala,0,0,0,1,1900,16.0,2.0,1,3.0,1.0,2.0,CORPORATION,IF,1.0,38000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bengaluru,1,3
3,Ejipura,0,0,0,0,800,1.0,2.0,2,2.0,0.0,4.0,CORPORATION,IF,0.0,20000.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Bengaluru,1,2
3,Hoysala Nagara,0,0,0,1,600,12.0,1.0,2,1.0,2.0,3.0,CORPORATION,IF,1.0,11000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
3,Kumaraswamy Layout,0,0,0,1,1200,9.0,2.0,2,2.0,0.0,2.0,CORP_BORE,IF,0.0,11000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,3
2,Munekolala,1,1,1,1,1200,2.0,2.0,2,1.0,4.0,4.0,CORP_BORE,AP,3.0,20000.0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,Bengaluru,2,3
2,Hongasandra,1,1,0,0,900,3.0,1.0,3,4.0,0.0,4.0,CORP_BORE,AP,2.0,12000.0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,Bengaluru,1,1
3,Vijayanagar,0,0,0,1,850,6.0,1.0,2,2.0,1.0,2.0,CORP_BORE,IF,1.0,8500.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
4,Bellanduru,0,0,0,0,1290,0.0,2.0,1,2.0,10.0,23.0,CORPORATION,AP,1.0,32000.0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,Bengaluru,1,3
3,Thubarahalli,1,1,1,1,1195,10.0,2.0,4,2.0,3.0,3.0,CORPORATION,AP,2.0,21500.0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,Bengaluru,1,3
3,Munekolala,0,1,0,1,300,0.0,2.0,1,2.0,2.0,5.0,BOREWELL,IF,2.0,16000.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Bengaluru,1,1
2,Hoodi,0,0,0,1,350,3.0,1.0,2,1.0,2.0,4.0,CORP_BORE,IF,0.0,11000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
3,Dodda Nekkundi,1,1,1,1,1286,10.0,2.0,3,6.0,0.0,4.0,CORPORATION,AP,2.0,25500.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Bengaluru,1,3
2,HSR Layout,0,0,0,1,435,4.0,1.0,1,1.0,3.0,4.0,CORP_BORE,IF,0.0,8200.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
4,Sitaramapalya,1,1,1,1,1470,2.0,3.0,2,3.0,1.0,4.0,CORP_BORE,AP,2.0,30000.0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,Bengaluru,1,2
3,Bellanduru,0,0,0,0,1519,10.0,2.0,1,5.0,3.0,3.0,BOREWELL,AP,4.0,25000.0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,Bengaluru,1,3
3,Hampi Nagar,0,0,0,1,800,13.0,1.0,1,1.0,2.0,2.0,CORP_BORE,IF,1.0,10500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,0
3,Bhuvaneshwari Nagar,0,0,0,1,900,4.0,2.0,2,2.0,0.0,2.0,CORP_BORE,IF,0.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,3
3,Basavanagudi,0,1,1,1,1800,9.0,3.0,3,3.0,11.0,12.0,BOREWELL,AP,4.0,40000.0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,Bengaluru,1,2
3,Kaadubeesanahalli,1,1,0,1,1100,10.0,2.0,2,2.0,1.0,4.0,BOREWELL,AP,4.0,23000.0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,Bengaluru,1,3
3,Puttenahalli,1,1,0,1,1160,0.0,2.0,2,2.0,3.0,4.0,CORP_BORE,AP,1.0,23000.0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,Bengaluru,1,3
3,Nallurahalli,1,1,1,1,1107,0.0,2.0,1,2.0,10.0,11.0,BOREWELL,AP,2.0,23000.0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,Bengaluru,1,3
4,Udaya Nagar,1,1,1,0,1980,0.0,4.0,1,4.0,2.0,14.0,CORP_BORE,AP,2.0,50000.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,Bengaluru,1,3
4,Kaveripura,0,0,0,0,1200,0.0,2.0,1,2.0,0.0,3.0,CORP_BORE,IF,0.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
4,Hombegowda Nagara,1,0,1,1,2300,7.0,3.0,2,3.0,0.0,2.0,CORP_BORE,IH,2.0,31000.0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,Bengaluru,1,3
4,Sriramamandir Ward,0,0,0,1,1500,15.0,2.0,2,3.0,1.0,2.0,CORP_BORE,IF,1.0,16000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bengaluru,1,1
3,Vignananagar,0,0,0,1,1300,5.0,2.0,2,2.0,0.0,3.0,CORP_BORE,IF,0.0,13500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bengaluru,1,1
5,Varthur,0,0,0,1,3800,1.0,4.0,2,0.0,1.0,3.0,CORPORATION,IF,2.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bengaluru,0,3
2,Koramangala,0,0,0,1,500,15.0,1.0,1,1.0,2.0,2.0,CORP_BORE,IF,0.0,13000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Kaadubeesanahalli,1,1,1,0,1070,3.0,2.0,2,2.0,4.0,4.0,BOREWELL,AP,1.0,24500.0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,Bengaluru,1,3
3,Banashankari,0,0,0,1,400,5.0,1.0,4,2.0,2.0,2.0,CORP_BORE,IF,1.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bengaluru,1,1
3,Bilekahalli,0,0,0,1,1050,11.0,2.0,2,2.0,1.0,2.0,CORPORATION,IF,2.0,17000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,Bengaluru,1,3
4,Dodda Nekkundi,0,0,0,1,1500,10.0,3.0,1,8.0,0.0,4.0,CORP_BORE,IF,0.0,26000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Bengaluru,2,1
2,Madiwala,0,0,0,1,500,20.0,1.0,2,1.0,1.0,1.0,CORP_BORE,IF,0.0,13000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
3,Hoodi,0,1,0,1,1090,1.0,2.0,2,2.0,3.0,4.0,BOREWELL,AP,1.0,17000.0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,Bengaluru,1,3
3,Kadugodi,0,0,0,1,1277,0.0,2.0,2,5.0,3.0,4.0,CORP_BORE,AP,3.0,26000.0,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,Bengaluru,1,3
3,Rajarajeshwari Nagar,0,0,0,1,1200,5.0,2.0,1,2.0,0.0,2.0,CORPORATION,IH,0.0,16000.0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,Bengaluru,1,3
2,Madiwala,0,0,0,0,350,2.0,1.0,1,1.0,0.0,3.0,CORP_BORE,IF,0.0,8500.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Bengaluru,1,1
3,Hoodi,0,0,0,1,1000,2.0,2.0,2,2.0,3.0,4.0,CORPORATION,AP,1.0,10900.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Bengaluru,1,2
3,Karisandra Ward,0,0,0,1,600,12.0,1.0,1,0.0,1.0,1.0,CORP_BORE,IF,1.0,14000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,0,1
3,Kottigepalya,0,0,0,1,1250,3.0,2.0,2,2.0,1.0,3.0,CORP_BORE,AP,1.0,12500.0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,Bengaluru,1,1
4,Maruthi Seva Nagar,0,0,0,1,1200,15.0,2.0,2,3.0,1.0,2.0,CORPORATION,IF,1.0,23000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Hoysala Nagara,0,0,0,1,650,1.0,2.0,1,2.0,1.0,4.0,CORP_BORE,IF,1.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bengaluru,1,1
1,Dodda Nekkundi,0,0,1,0,600,0.0,1.0,2,2.0,5.0,5.0,CORPORATION,IF,0.0,9000.0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,Bengaluru,1,1
3,Rajarajeshwari Nagar,0,0,0,1,900,6.0,2.0,1,2.0,2.0,3.0,CORP_BORE,IF,1.0,11000.0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,Bengaluru,1,3
3,Suddagunte Palya Ward,0,0,0,1,1000,3.0,2.0,3,3.0,0.0,3.0,CORP_BORE,IH,1.0,19000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,1
2,Gayatri Nagar,0,0,0,1,900,20.0,1.0,4,1.0,0.0,1.0,CORPORATION,IF,0.0,9000.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,Bengaluru,1,0
3,Basavanagudi,0,0,0,1,600,15.0,2.0,1,2.0,1.0,3.0,CORP_BORE,IF,0.0,11500.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Bengaluru,1,1
3,Kaadubeesanahalli,0,0,0,1,1350,1.0,2.0,2,2.0,0.0,3.0,CORP_BORE,AP,2.0,20000.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,Bengaluru,1,3
3,Agaram,0,0,0,0,650,2.0,1.0,2,2.0,1.0,4.0,CORP_BORE,IF,2.0,20000.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bengaluru,1,0
3,Mangammanapalya,0,0,0,1,1000,6.0,2.0,1,2.0,2.0,3.0,CORPORATION,IF,1.0,18500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,Bengaluru,1,1
